PM2_5,PM10,NO2,SO2,CO,O3,Temperature,Humidity,AQI
69.3,118.3,28.4,27.1,0.68,15.8,32.6,47.9,65.2
34.4,76.7,78.1,48.4,0.81,23.1,24.9,70.0,54.0
56.5,97.8,16.6,4.7,0.28,11.3,23.9,51.6,22.9
141.8,227.7,31.8,16.1,2.2,12.7,29.2,58.4,117.5
99.4,194.4,54.3,30.1,0.2,52.6,21.5,71.4,119.6
61.8,83.5,17.6,15.5,0.65,34.4,27.3,48.3,55.9
31.9,46.3,36.1,16.2,0.61,51.5,26.2,35.0,32.4
185.6,318.0,33.6,44.6,0.21,33.4,25.8,41.0,146.9
78.6,141.2,19.2,5.8,1.8,80.4,34.9,79.5,66.9
99.1,194.3,37.6,6.5,0.59,80.3,16.5,51.9,83.9
117.3,205.6,15.5,3.7,2.45,86.4,22.9,29.9,124.2
53.9,58.9,14.9,4.8,1.65,39.7,28.0,55.8,56.3
47.9,123.3,115.3,3.2,1.26,30.8,31.1,36.4,65.4
150.8,154.7,43.0,10.4,0.5,24.9,34.9,31.4,92.2
